,college_name,college_name_modified,tcs_region,tcs_region_modified
0,"Kalyani Govt. Engg. College, WB","Kalyani Govt. Engg. College, WB",Kolkata,Kolkata
1,IIT ­ PATNA,IIT ­ PATNA,Kolkata,Kolkata
2,Institute of Engg,Institute of Engg,Kolkata,Kolkata
3,nit patna,nit patna,Kolkata,Kolkata
4,"Indian Institute Of Technology, Hyderabad","Indian Institute Of Technology, Hyderabad",Hyderabad,Hyderabad
6,"Walchand College of Eng., Sangli","Walchand College of Eng., Sangli",Pune,Pune
7,"KITS COLLEGE OF ENGG., KOLHAPUR","KITS COLLEGE OF ENGG., KOLHAPUR",Pune,Pune
8,"Dharamsinh Desai Instt. of Tech., Nadiad","Dharamsinh Desai Instt. of Tech., Nadiad",Ahmedabad,Ahmedabad
9,Cochin Univ. of Science,Cochin Univ. of Science,Trivandrum,Trivandrum
10,"Institute of Engg. Technology, Lucknow","Institute of Engg. Technology, Lucknow",Lucknow,Lucknow
11,"Techno India, Salt Lake","Techno India, Salt Lake",Kolkata,Kolkata
13,"Heritage Institute of Technology, Anandapur, Kolkata","Heritage Institute of Technology, Anandapur, Kolkata",Kolkata,Kolkata
14,Dhirubhai Ambani Inst of Information,Dhirubhai Ambani Inst of Information,Ahmedabad,Ahmedabad
16,Vidya Vardhini COE,Vidya Vardhini COE,Mumbai,Mumbai
18,"ABES Engineering College, Delhi","ABES Engineering College, Delhi",Delhi,Delhi
19,"Indian Institute of Engineering Science and Technology,Shibpur","Indian Institute of Engineering Science and Technology,Shibpur",Kolkata,Kolkata
20,"Madan Mohan Malaviya University of Technology,Gorakhpur","Madan Mohan Malaviya University of Technology,Gorakhpur",Lucknow,Lucknow
21,"University of Engineering and Management, Kolkata","University of Engineering and Management, Kolkata",Kolkata,Kolkata
22,West Bengal University of Technology,West Bengal University of Technology,Kolkata,Kolkata
24,"School of IT, Guru Gobind Indraprastha Univ, Delhi","School of IT, Guru Gobind Indraprastha Univ, Delhi",Delhi,Delhi
25,"Institute of Technology, Calicut","National Institute of Technology, Calicut",National,Trivandrum
26,CHHOTU RAM UNIVERSITY OF SCIENCE AND TECHNOLOGY ­ MURTHAL,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCIENCE AND TECHNOLOGY ­ MURTHAL,DEENBANDHU,Delhi
27,"Ambedkar Institute of Technology, Delhi","Ambedkar Institute of Technology, Delhi",Delhi,Delhi
28,"IIIT, Hyderabad","IIIT, Hyderabad",Hyderabad,Hyderabad
30,IIT ­ Madras,IIT ­ Madras,Chennai,Chennai
32,Shri Mata Vaishno Devi University,Shri Mata Vaishno Devi University,Delhi,Delhi
33,Birla Institite of Technology Pilani,Birla Institite of Technology Pilani,Mumbai,Mumbai
34,"Madan Mohan Malaviya University of Technology, Gorakhpur","Madan Mohan Malaviya University of Technology, Gorakhpur",Lucknow,Lucknow
35,Shri Ram Swaroop Memorial College of Engineering,Shri Ram Swaroop Memorial College of Engineering,Lucknow,Lucknow
38,"Madhav Institute of Technology Science, Gwalior","Madhav Institute of Technology Science, Gwalior",Delhi,Delhi
39,"PES INSTITUTE OF TECHNOLOGY (PESIT), BANGALORE","PES INSTITUTE OF TECHNOLOGY (PESIT), BANGALORE",Bangalore,Bangalore
40,"Manakula Vinayagar Engineering College, Pondicherry","Manakula Vinayagar Engineering College, Pondicherry",Chennai,Chennai
42,Kamla Nehru Institute of Technology,Kamla Nehru Institute of Technology,Lucknow,Lucknow
43,Srinivasa Ramanujan Institute of Technology,Srinivasa Ramanujan Institute of Technology,Hyderabad,Hyderabad
44,"Sardar Vallabh Regional Engineering College, Surat","Sardar Vallabh Regional Engineering College, Surat",Ahmedabad,Ahmedabad
46,maharaja institute of technology mysore,maharaja institute of technology mysore,Bangalore,Bangalore
47,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, NEW DELHI","BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, NEW DELHI",Delhi,Delhi
48,INDIAN INSTITUTE OF TECHNOLOGY INDORE,INDIAN INSTITUTE OF TECHNOLOGY INDORE,Mumbai,Mumbai
49,Anil Neerukonda Institute of Technology,Anil Neerukonda Institute of Technology,Hyderabad,Hyderabad
51,Institute of Engineering,Institute of Engineering,Mumbai,Mumbai
52,"Laxminarain College of Technology,Bhopal","Laxminarain College of Technology,Bhopal",Mumbai,Mumbai
53,"INDIAN INSTITUTE OF TECHNOLOGY, HYDERABAD","INDIAN INSTITUTE OF TECHNOLOGY, HYDERABAD",Hyderabad,Hyderabad
54,"Netaji Subhash Inst of Tech, Delhi Univ","Netaji Subhash Inst of Tech, Delhi Univ",Delhi,Delhi
55,"L. D. College of Engineering, Ahmedabad","L. D. College of Engineering, Ahmedabad",Ahmedabad,Ahmedabad
57,"Manipal Institute of Technology, Manipal","Manipal Institute of Technology, Manipal",Bangalore,Bangalore
58,"LN Mittal Institute of Information Technology, Jaipur","LN Mittal Institute of Information Technology, Jaipur",Delhi,Delhi
61,VIT University,VIT University,Chennai,Chennai
62,"of Technology, Bangalore","K.S.Institute of Technology, Bangalore",K.S.Institute,Bangalore
63,"Vidyalankar Inst. of Technology, Mumbai University","Vidyalankar Inst. of Technology, Mumbai University",Mumbai,Mumbai
64,Institute of Tech,Institute of Tech,Delhi,Delhi
66,Bundelkhand Inst of Engg,Bundelkhand Inst of Engg,Delhi,Delhi
67,"Army Institute of Technology,Pune University, Pune","Army Institute of Technology,Pune University, Pune",Pune,Pune
68,College of Engg Guindy Anna University,College of Engg Guindy Anna University,Chennai,Chennai
71,"Gurukul Kangri Vishwavidyalaya, Hardwar","Gurukul Kangri Vishwavidyalaya, Hardwar",Delhi,Delhi
72,"C S Patel Institute of Technology, Charusat, Changa","C S Patel Institute of Technology, Charusat, Changa",Ahmedabad,Ahmedabad
73,Ambedkar Inst. of Technology. Bangalore,Ambedkar Inst. of Technology. Bangalore,Bangalore,Bangalore
74,"Bharathidasan Institute of Technology, Anna University, Tiruchirappalli","Bharathidasan Institute of Technology, Anna University, Tiruchirappalli",Chennai,Chennai
75,JK Inst. of Applied Physics,JK Inst. of Applied Physics,Lucknow,Lucknow
76,"NIT , Raipur","NIT , Raipur",Mumbai,Mumbai
77,Thadomal Shahani Engg. College ­ Mumbai,Thadomal Shahani Engg. College ­ Mumbai,Mumbai,Mumbai
79,Faculty of Enginnering,Faculty of Enginnering,Delhi,Delhi
81,Medicaps Inst of Tech,Medicaps Inst of Tech,Mumbai,Mumbai
84,Krishna Institute of Engineering,Krishna Institute of Engineering,Delhi,Delhi
91,"Gayatri Vidya Parishad College of Engg., Visakhapatnam, (Affiliated To J.N.T. Univ, Hyderabad)","Gayatri Vidya Parishad College of Engg., Visakhapatnam, (Affiliated To J.N.T. Univ, Hyderabad)",Hyderabad,Hyderabad
93,VJTI Mumbai,VJTI Mumbai,Mumbai,Mumbai
95,"NETAJI SUBHASH ENGINEERING COLLEGE, WEST BENGAL UNIVERSITY OF TECHNOLOGY","NETAJI SUBHASH ENGINEERING COLLEGE, WEST BENGAL UNIVERSITY OF TECHNOLOGY",Kolkata,Kolkata
96,Government College of Engg. Udaipur,Government College of Engg. Udaipur,Delhi,Delhi
99,"Sri Vaishnav Institute of Technology, Indore","Sri Vaishnav Institute of Technology, Indore",Mumbai,Mumbai
100,"YMCA Institute of Engineering, Faridabad","YMCA Institute of Engineering, Faridabad",Delhi,Delhi
101,"UIET, Punjab University, Chandigarh","UIET, Punjab University, Chandigarh",Delhi,Delhi
104,"Indian School of Mines, Dhanbad","Indian School of Mines, Dhanbad",Kolkata,Kolkata
105,"Jawaharlal Nehru Technical University's Coll of Engg, Kukatpally, JNT Univ","Jawaharlal Nehru Technical University's Coll of Engg, Kukatpally, JNT Univ",Hyderabad,Hyderabad
108,BITS Pilani,BITS Pilani,Delhi,Delhi
